objectid,Approve,cs_address_one,cs_address_two,cs_borough,cs_cooling_facilities,cs_cooling_facilities_other,cs_heat_vulnerable,cs_heat_vulnerable_other,cs_indoor_site_id,cs_max_seating,cs_name,cs_opening_hours,cs_postcode,cs_toilets_available,cs_wheelchair_access,has_drinking_water,has_seating,indoor_cooling_temp,is_free_of_charge,is_staffed_when_open,org_name,runtime,Tier,x,y
37,Yes,"Jacksons Lane, 269A Archway Road",,Haringey,"Stand up fans,Natural cooling/ventilation,other",," young children, older people, pregnant women ",,70,60,Jacksons Lane,"Monday-Saturday 10am-10pm, Sundays 10am-6pm.",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Jacksons Lane,20250527,Tier 1,528637.212,188058.023
39,Yes,Unit 17A The Mall,,Haringey,"Air conditioning,Natural cooling/ventilation",," young children, older people, pregnant women ",,63,50,The RecordShop,Wednesday - Friday from 10 - 6pm and flexible on Weekends. Please enquire. ,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,The RecShop CIC,20250527,Tier 2,531061.779,190137.112
86,Yes,187-197A High Road Wood Green,,Haringey,"Air conditioning,Natural cooling/ventilation",,,,129,50,Wood Green library,"Mon,Tues,Thurs,Fri 9am-7pm Weds 10am-7pm Sat 9am-5pm Sun 12pm-4pm",N22 6XD,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Haringey Council,20250527,Tier 1,531034,190212
89,Yes,AX107 Selby centre,Selby Road,Haringey,"Stand up fans,Natural cooling/ventilation",,Young children,,142,40,BYEP free open space,"Tue, Thu and Fr 10am - 5pm Sat 10am - 7pm",N17 8JL,available on site,no,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Billy Youth Engagement Project,20250527,Tier 2,533160,191430
202,Yes,Adams Road,,Haringey,Natural cooling/ventilation,,"Young children,Older people",,630,100,"Jazz Cafe , Broadwater Farm Community Centre",Tuesday 10am-4pm Wednesday 10am-4pm Friday 10am-4pm,N176HG,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Wheely Tots ( Moselle Community Project ),20250530,Tier 2,532776,190279
214,Yes,123,High Cross Road,Haringey,Air conditioning,,"Young children,Older people,Pregnant women",,636,50,IVO Tottenham Community  Hub,Monday to Friday 10 am to 5pm Saturday 11am to 5pm Sunday 12 noon to 4pm,N17 9NR,available on site,yes,yes,yes,26c_or_less,yes,yes,Innovative Vision Organisation,20250530,Tier 1,534086,189572
215,Yes,Haringey Park,,Haringey,Natural cooling/ventilation,,,,637,30,Hornsey Library,Mon/Tues/Thurs/Fri - 9:00am - 7:00pm Weds - 10:00am - 7:00pm Sat - 9:00am - 5:00pm Sun - 12:00pm - 4:00pm,N8 9JA,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Hornsey Library,20250530,Tier 1,530259,188283
218,Yes,"Finsbury Park, Hornsey Gate",Endymion Road,Haringey,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,642,60,Finsbury Park Cafe,Monday - Sunday 9.00am to 6.00pm,N4 1EE,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Finsbury Park Cafe,20250604,Tier 1,531512.299,187394.688
220,Yes,Tottenham Green Leisure Centre,"1 Philip Lane, London",Haringey,Air conditioning,,"Young children,Older people,Pregnant women",,644,100,Marcus Garvey Library,"Monday, Tuesday, Thursday, Friday 9am to 7pm Wednesday 10am to 7pm Saturday 9am to 5pm Sunday 12 noon to 4pm Closed on public holidays",N15 4JA,available on site,yes,yes,yes,26c_or_less,yes,yes,Haringey Libraries,20250604,Tier 1,533522,189460
61,Yes,Chicheley Road,,Harrow,"Air conditioning,Stand up fans",," young children, older people, pregnant women ",,93,50,Cedars Youth & Community Centre,9am - 9pm Monday - Friday and 9am - 5pm Saturdays,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Watford FC Community Sports & Education Trust,20250527,Tier 1,514158.989,191193.972
235,Yes,Kenmore Park Hall,Warneford Road,Harrow,Stand up fans,,"Young children,Older people,Pregnant women",,653,100,RCCT Community Hub,"Monday and Wednesday 9 to 2pm Tuesday, Thursday and Friday 9 to 5pm",HA3 9HY,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,RCCT CIC,20250619,Tier 2,517977.805,189642.33
295,Yes,Chippenham Road,Harold Hill,Havering,,,,,712,50,St Georges Church,Mondays and Thursday  10am – 2pm,RM3 8HX,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,St Georges Church,20250805,Tier 2,553780.58,191959.8
296,Yes,Petersfield Avenue,Harold Hill,Havering,,,,,713,50,Salvation Army Centre (Harold Hill),Monday 10am – 2pm Tuesday 10am – 1pm - Coffee Morning,RM3 9PP,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Salvation Army,20250805,Tier 2,555018.66,191794.67
99,Yes,Windsor Street,Uxbridge,Hillingdon,"Natural cooling/ventilation,Other",Traditional stone church building. Always remains cool.,"Young children,Older people,Pregnant women",,573,150,St Margaret's Church Uxbridge,Mondays 11am to 1pm - open for drop in Fridays 11am to 1pm - open for drop in Wednesday 12:30pm - open for church service Sunday 10am - open for church service,UB8 1AB,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Church of England,20250527,Tier 2,505517,184073
221,Yes,"Civic Centre, High Street, Uxbridge",,Hillingdon,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,645,95,Uxbridge Library,Monday 9am to 7pm  Tuesday 9am to 7pm  Wednesday 9am to 5pm  Thursday 9am to 7pm  Friday 9am to 5pm  Saturday 9am to 5pm  Sunday 10am to 1pm  Bank holidays Closed,UB8 1UW,available on site,yes,yes,yes,26c_or_less,yes,yes,Uxbridge Library,20250606,Tier 1,505721.262,183813.521
222,Yes,"Linden Avenue, Ruislip Manor",,Hillingdon,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,646,50,Ruislip Manor Library,Monday 9am to 7pm Tuesday 9am to 7pm Wednesday 9am to 5pm Thursday 9am to 7pm Friday 9am to 5pm Saturday 9am to 5pm Sunday Closed Bank holidays Closed,HA4 8TW,available on site,yes,yes,yes,26c_or_less,yes,yes,Ruislip Manor Library,20250606,Tier 1,510179.766,187134.902
223,Yes,Bury Avenue  Hayes,,Hillingdon,Air conditioning,,"Young children,Older people,Pregnant women",,647,30,Charville Library,"Monday	Closed Tuesday	10am to 1pm and 2pm to 5pm Wednesday 10am to 1pm and 2pm to 5pm Thursday 10am to 1pm and 2pm to 5pm Friday	10am to 1pm  and 2pm to 5pm Saturday 10am to 2pm Sunday	Closed",UB4 8LF,available on site,yes,yes,yes,26c_or_less,yes,yes,Charville Library,20250609,Tier 2,509168.691,182967.671
224,Yes,Victoria Road South Ruislip,,Hillingdon,"Air conditioning,Natural colling/ventilation",,"Young children,Older people,Pregnant women",,648,10,South Ruislip Library,"Monday 10am to 1pm and 2pm to 5pm Tuesday 10am to 1pm and 2pm to 7pm Wednesday Closed Thursday 10am to 1pm and 2pm to 5pm Friday	10am to 1pm and 2pm to 5pm Saturday 10am to 1pm and 2pm to 4pm Sunday Closed",HA4 0JE,available on site,yes,yes,yes,26c_or_less,yes,yes,South Ruislip Library,20250609,Tier 1,511361.86,185498.3
243,Yes,Sutton Court Road,,Hillingdon,Air conditioning,,"Young children,Older people,Pregnant women",,659,40,Oak Farm Library,Monday 10am to 7pm Tuesday 10am to 5pm Wednesday 10am to 5pm Thursday 10am to 7pm Friday 10am to 5pm Saturday 10am to 4pm Sunday Closed Bank holidays Closed,UB10 9PB,available on site,yes,yes,yes,26c_or_less,yes,yes,Oak Farm Library,20250626,Tier 1,507577.247,183657.62
287,Yes,Hounslow House,7 Bath Road,Hounslow,Air conditioning,,"Young children,Older people,Pregnant women",,704,60,Hounslow House Community Hub and Library,Monday: 9:30am to 8pm Tuesday: 9:30am to 5:30pm Wednesday: 9:30am to 5:30pm Thursday: 9:30am to 8pm Friday: 9:30am to 5:30pm Saturday: 9:30am to 5:30pm Sunday: 11:30am to 4pm,TW3 3EB,available on site,yes,yes,yes,26c_or_less,yes,yes,London Borough of Hounslow,20250724,Tier 1,513490.48,175689.89
288,Yes,"210 The Centre, High Street",Feltham,Hounslow,Air conditioning,,"Young children,Older people,Pregnant women",,705,30,Feltham Community Hub and Library,Monday: 9am to 8pm Tuesday: 9am to 5:30pm Wednesday: 9am to 5:30pm Thursday: 9am to 8pm Friday: 9am to 5:30pm Saturday: 9:30am to 5:30pm Sunday: Closed,TW13 4GU,available on site,yes,yes,yes,26c_or_less,yes,yes,London Borough of Hounslow,20250724,Tier 1,510516.6,173127.6
289,Yes,Uxbridge Road,Hanworth,Hounslow,Air conditioning,,"Young children,Older people,Pregnant women",,706,20,Hanworth Air Park Leisure Centre and Library,Monday: 9:30am to 8pmTuesday: 9:30am to 5:30pmWednesday: Closed Thursday: 9:30am to 8pmFriday: ClosedSaturday: 9:30am to 5:30pmSunday: Closed,TW13 5EG,available on site,yes,yes,yes,26c_or_less,yes,yes,London Borough of Hounslow,20250724,Tier 2,512016.8,172544.3
2,Yes,1-3 Elliott's Place,,Islington,Air conditioning,," young children, older people, pregnant women ",,30,20,Chabad Lubavitch of Islington,weekday: 9am to 4pm. weekend: closed. public holiday: closed,,Available on site,No,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Chabad Lubavitch of Islington CIO,20250527,Tier 2,531819.943,183696.461
3,Yes,90 Central Street ,,Islington," Air conditioning, Natural cooling/ventilation ",," young children, older people, pregnant women ",,1,40,St Luke's community centre,"Mon - Friday - 9am - 7pm, Sat, Sun - closed",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,St Luke's community centre,20250527,Tier 1,532162,182560
31,Yes,YERBURY ROAD,,Islington,"Natural cooling/ventilation,Stand up fans",," young children, older people, pregnant women ",,43,20,Whittington Park Lounge ,MONDAYS TO THURSDAY 10am-4pm,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,whittington park community association ,20250527,Tier 2,529744.383,186353.645
64,Yes,Woodville Road,,Islington,Natural cooling/ventilation,," young children, older people, pregnant women ",,31,20,Mildmay Community Centre ,"Monday, 09:30 to 15:00 and 17:00 to 19:30; Tuesday, 09:30 to 20:30; Wednesday, 09:30 to 15:00; Thursday, 09:30 to 15:00; Friday, 15:00 to 20:30. ",N16 8NA,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,MILDMAY COMMUNITY PARTNERSHIP,20250527,Tier 1,533116,185298
20,Yes,"Royal Hospital Road, Chelsea",,Kensington and Chelsea,Air conditioning,," young children, older people, pregnant women ",,32,0,National Army Museum,10.00 -17.30 (17.00 Last Admission),,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,National Army Museum,20250527,Tier 1,527827.346,178026.347
56,Yes,St Mary's Church,,Kensington and Chelsea,Natural cooling/ventilation,," young children, older people, pregnant women ",,86,220,St Mary The Boltons,8.30am - 5.30pm Monday - Friday; 9am - 12pm Saturday. Open for services 8am - 12noon on Sundays. Closed on bank holidays. ,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,St Mary The Boltons,20250527,Tier 1,526172.731,178301.048
84,Yes,51 Philbeach gardens,,Kensington and Chelsea,"Stand up fans,Natural cooling/ventilation",,"Older people,Other",,127,80,Refettorio Felix at St Cuthbert's,Monday - Friday 12.00pm - 2.00pm,SW5 9EB,available on site,no,Yes,Yes,26c_or_less,Yes,Yes,Refettorio Felix,20250527,Tier 2,525131,178356
124,Yes,12 Phillimore Walk,London,Kensington and Chelsea,Natural cooling/ventilation,,"Young children,Older people",,607,200,Kensington Central Library,"Monday, Tuesday and Thursday - 9.30am to 8pm Wednesday, Friday, Saturday: 9.30am to 5pm Sunday: CLOSED",W8 7RX,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Royal Borough of Kensington and Chelsea Libraries,20250527,Tier 1,525421.08,179597.99
125,Yes,Old Town Hall King's Road,London,Kensington and Chelsea,Air conditioning,,"Young children,Older people",,608,100,Chelsea Library,"Monday, Tuesday & Thursday: 9.30am to 8pm Wednesday, Friday, Saturday: 9.30am to 5pm Sunday: CLOSED",SW3 5EE,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Royal Borough of Kensington and Chelsea Libraries,20250527,Tier 1,527281,178093
126,Yes,210 Old Brompton Road,London,Kensington and Chelsea,Natural cooling/ventilation,,"Young children,Older people",,609,30,Brompton Library,"Monday, Tuesday & Thursday: 9.30am to 8pm Wednesday, Friday, Saturday: 9.30am to 5pm Sunday: CLOSED",SW5 0BS,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Royal Borough of Kensington and Chelsea Libraries,20250527,Tier 1,525869,178348
128,Yes,108 Ladbroke Grove,London,Kensington and Chelsea,Natural cooling/ventilation,,"Young children,Older people",,611,35,North Kensington Library,"Mondays, Tuesdays and Thursdays: 9.30am to 8pm Wednesdays 10am to 5pm Fridays and Saturdays: 9.30am to 5pm Sundays: CLOSED",W11 1PZ,short walk and signposted from the site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Royal Borough of Kensington and Chelsea Libraries,20250527,Tier 1,524353,181269
129,Yes,20 Golborne Rd,London,Kensington and Chelsea,Natural cooling/ventilation,,,,612,15,Kensal Library,Mondays: 1pm to 6pm Tuesdays: 1pm to 6pm Wednesdays: Closed  Thursdays: 1pm to 6pm Fridays: 9.30am to 5pm  Saturdays: 9.30am to 5pm (closed for 1 hour at 1pm),W10 5PF,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,RBKC Libraries,20250527,Tier 2,524496,182071
134,Yes,Holland Road,,Kensington and Chelsea,"Natural cooling/ventilation,Other",Our stone vault and high (17m) ceilings make us a naturally cooled venue.  We are always much cooler than outside temperatures.,"Young children,Older people,Pregnant women,Other","Everyone is welcome regardless of faith, orientation, age or background.",617,500,"St John the Baptist, Holland Road",Core hours are: Monday-Friday 15:00-17:00 Saturday 09:00-12:00 Sunday 17:00-20:00 we're also open lots of other times too - if the door's open everyone is welcome. Closed bank holidays.,W14 8AH,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,"St John the Baptist, Holland Road",20250527,Tier 2,524060,179721
137,Yes,103a Wornington Road,Faraday House,Kensington and Chelsea,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,621,40,Venture Centre,Monday - Friday 10.00am -7.00pm Saturday - 10.00am - 4.00pm  Sunday - 12.00pm - 3.00pm  Bank holidays - open (closed August bank Holiday only),W10 5YB,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Venture Community Association,20250527,Tier 1,524205.98,182012.45
138,Yes,Worlds End Estate,Blantyre Street,Kensington and Chelsea,"Ceiling fans,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,622,50,Flashpoint Centre,Monday  - Friday 10.00am - 2.00pm,SW10 0DS,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Venture Community Association,20250527,Tier 2,526585,177391
181,Yes,244 Acklam Road,,Kensington and Chelsea,Natural cooling/ventilation,,,,131,15,Al-Manaar The Muslim Cultural Heritage Centre,Mon - Thurs 10am to 6pm Fri - 3pm to 6pm,W10 5YG,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Al-Manaar The Muslim Cultural Heritage Centre,20250530,Tier 2,524727.19,181755.04
208,Yes,Henry Dickens Court estate,St Anns Road,Kensington and Chelsea,"Stand up fans,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,627,100,Henry Dickens Community Centre,Monday - Friday 10 - 6  Adult Wednesday 10 - 1 Lunch provided and Fridays 10 - 12 coffee morning,W11 4DH,available on site,yes,yes,yes,26c_or_less,yes,yes,Latimer Community Art Therapy,20250530,Tier 1,523927,180518
271,Yes,224-238 Kensington High St,London,Kensington and Chelsea,Air conditioning,,"Young children,Older people",,688,50,the Design Museum,10:00 – 17:00 Monday to Thursday  10:00 – 18:00 Friday to Sunday,W8 6AG,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,the Design Museum,20250716,Tier 1,525026.27,179417.08
266,Yes,"Tolworth Hospital,  Red Lion Road",Tolworth,Kingston upon Thames,Air conditioning,,"Young children,Older people,Pregnant women",,682,30,The Red Lian Kitchen,Mon-Frid 8:30 am to 2:30pm Sat 8:00am to 12:30pm Sundays and Bank  Holidays Closed,KT6 7QU,short walk and signposted from the site,yes,yes,yes,cannot_guarantee_26c,yes,yes,"Medirest, Compass Group",20250709,Tier 2,519208.82,165838.08
283,Yes,"2 The Avenue, Worcester Park",,Kingston upon Thames,"Stand up fans,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,700,60,Worcester Park Baptist Church Hub Cafe,Mon/ Tues/ Wed 10am to 2pm,KT4 7EW,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Worcester Park Baptist Church,20250724,Tier 2,522160,166077
36,Yes,73 Waterloo Road,,Lambeth,Natural cooling/ventilation,," young children, older people, pregnant women ",,67,30,St John's Waterloo,Monday and Tuesday 9am to 5pm,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,The Bridge at Waterloo,20250527,Tier 2,531144.094,180038.045
90,Yes,167 Kennington Lane,London,Lambeth,Other,,"Young children,Older people,Pregnant women",,145,36,Durning Library,Monday1pm to 6pm Tuesday10am to 6pm Wednesday10am to 8pm ThursdayClosed Friday10am to 6pm Saturday9am to 5pm SundaysClosed Bank HolidaysClosed,SE11 4HF,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Borough of Lambeth,20250527,Tier 2,531310,178342
91,Yes,Brixton Oval,London,Lambeth,Stand up fans,,"Young children,Older people,Pregnant women",,147,135,Brixton Tate Library,Monday1pm - 8pm Tuesday10am - 8pm Wednesday10am - 6pm Thursday10am - 8pm Friday10am - 6pm Saturday9am - 5pm Sunday12pm - 5pm Bank holidaysClosed,SW2 1JQ,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Borough of Lambeth,20250527,Tier 1,531067,175255
92,Yes,63 Streatham High Road,London,Lambeth,Air conditioning,,"Young children,Older people,Pregnant women",,153,104,Streatham Library,Monday1pm to 8pm Tuesday10am to 8pm Wednesday10am to 8pm Thursday10am to 6pm Friday10am to 6pm Saturday9am to 5pm Sundaysmidday to 5pm Bank HolidaysClosed,SW16 1PN,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,London Borough of Lambeth,20250527,Tier 1,530168,171980
195,Yes,180 South Lambeth Road,London,Lambeth,Other,,"Young children,Older people,Pregnant women",,151,42,Tate South Lambeth Library,Monday1pm to 6pm TuesdayClosed Wednesday10am to 6pm Thursday10am to 8pm Friday10am to 6pm Saturday9am to 5pm SundaysClosed Bank HolidaysClosed,SW8 1QP,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,London Borough of Lambeth,20250530,Tier 1,530374,177251
290,Yes,390 Streatham High Road,,Lambeth,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,707,"1,000",Streatham Ice Rink lobby,Mon - Fri: 11.30am - 4pm Sat - Sun: 11.45am - 5pm,SW16 6HX,available on site,yes,yes,yes,26c_or_less,yes,yes,Lambeth Council,20250724,Tier 2,530033,171129
4,Yes,41 Loampit Vale,London,Lewisham," Air conditioning, Natural cooling/ventilation ",," young children, older people, pregnant women ",,2,30,Glass Mill Leisure Centre,"06:30-22:00 weekdays, 07:00-17:00 Weekends 08:00-19:00 Public Holidays",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Better (Lewisham),20250527,Tier 1,537921.705,175779.172
19,Yes,100 London Rd,,Lewisham," Air conditioning, Natural cooling/ventilation, Ceiling fans ",," young children, older people, pregnant women ",,33,40,Horniman Museum,10am to 5.30pm daily,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Horniman Museum and Gardens,20250527,Tier 1,534874.163,173131.969
38,Yes,12 Westwood Hill,,Lewisham,Natural cooling/ventilation,," young children, older people, pregnant women ",,66,300,"St Bartholomew's Church, Sydenham",Monday  10:00 – 12:00 Tuesday 17:00 – 18:00 Wednesday  17:00 – 18:00 Thursday 11:30 – 13:30 Saturday 10:00 – 12:00,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,"St Bartholomew's Church, Sydenham",20250527,Tier 2,535052.635,171653.267
40,Yes,Darmouth Road,,Lewisham,"Air conditioning,Natural cooling/ventilation",," young children, older people, pregnant women ",,87,20,Forest Hill Pools,"6.30am to 10pm Monday to Friday, 8am to 6pm Saturday, Sunday and Public Holidays",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Better (Lewisham),20250527,Tier 1,535243.719,172597.029
55,Yes,355 Bromley Road,,Lewisham,Natural cooling/ventilation,," young children, older people, pregnant women ",,88,50,the Green Man Hub,"9am-5pm, Monday to Friday",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Phoenix Community Housing,20250527,Tier 1,538385.996,171712.614
261,Yes,Deptford Royal Dockyard,,Lewisham,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,677,30,Peppys Community Hub,Tuesday-Sunday 10.30am-4.30pm,SE83BA,available on site,yes,yes,yes,26c_or_less,yes,yes,Peppys Community Hub,20250701,Tier 2,536814,178614
263,Yes,103 Torridon Road,,Lewisham,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,679,40,Corbett Community Library,Monday-Tuesday 9am-5.30pm Thursday 9am-5.30pm Saturday 10am-1pm,SE61RQ,available on site,yes,yes,yes,26c_or_less,yes,yes,Corbett Community Library,20250701,Tier 2,538956,173637
33,Yes,16 Wimbledon Hill Road,,Merton,"Natural cooling/ventilation,Stand up fans",," young children, older people, pregnant women ",,61,60,Wimbledon Library,"Monday-Friday, 9.30am-7pm.  Saturday 9.30am-5pm",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Merton Libraries,20250527,Tier 1,524668.924,170770.105
34,Yes,Station Road,,Merton,Air conditioning,," young children, older people, pregnant women ",,62,25,West Barnes Library,"Monday, Tuesday, Thursday, Friday 8am-8pm. Saturday 8am-5pm",,Not available,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Merton Libraries,20250527,Tier 2,522659.01,167652.627
35,Yes,21 Approach Road,,Merton,Air conditioning,," young children, older people, pregnant women ",,64,20,Raynes Park Library,Mon/Tues/Thurs/Fri (8am - 8pm) & Saturday (8am - 5pm) - Closed on Wednesdays and Sundays - same for West Barnes,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Merton Libraries,20250527,Tier 1,523359.675,169276.203
238,Yes,South Lodge Avenue,Pollards Hill,Merton,"Stand up fans,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,654,40,New Horizon Centre,Monday - Friday 9.15 - 4pm Saturday and Sunday - varies please,CR4 1LT,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Commonside Community Development Trust,20250619,Tier 2,530077.72,168400.427
9,Yes,6-8 Woodgrange Road,,Newham,Air conditioning,," young children, older people, pregnant women ",,9,20,Forest Gate Library,"Monday - Saturday -9am-8pm, Sunday closed, Public Holidays - Closed",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,London Borough of Newham,20250527,Tier 1,540526.125,185405.696
10,Yes,3 The Grove,,Newham,Air conditioning,," young children, older people, pregnant women ",,14,30,Stratford Library,"Monday - Saturday -9am-8pm, Sunday 12pm-4pm, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,London Borough of Newham,20250527,Tier 1,539090.507,184548.165
11,Yes,685-693 Romford Road,,Newham,Air conditioning,," young children, older people, pregnant women ",,16,12,Manor Park Library,"Monday - Saturday -10am-8pm, Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,London Borough of Newham,20250527,Tier 1,542022.956,185521.977
141,Yes,North Street,,Newham,"Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,10,20,Plaistow Library,"Monday - Tuesday - 9:30am-5:30pm, Wednesday - 9:30am-5pm, Thursday - 1pm-8pm, Friday - 9.30am-5pm, Saturday - 9.30am-5.30pm  Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,I don’t know/ it’s not possible to  monitor indoor temperature,yes,Yes,London Borough of Newham,20250530,Tier 1,540578.278,183195.894
142,Yes,337 - 341 Green Street,,Newham,Air conditioning,," young children, older people, pregnant women ",,11,10,Green Street Library,"Monday - Saturday -10am-8pm, Sunday closed, Public Holidays - Closed ",,Not available,Yes,Yes,Yes,Indoor temperature of 26C or less,yes,Yes,London Borough of Newham,20250530,Tier 2,541238.17,183903.087
143,Yes,1 Kingsford Way,,Newham,Air conditioning,," young children, older people, pregnant women ",,12,10,Beckton Library,"Monday - Saturday -10am-8pm, Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,yes,Yes,London Borough of Newham,20250530,Tier 1,542750.724,181597.241
144,Yes,328 Barking Road,,Newham,Air conditioning,," young children, older people, pregnant women ",,13,20,East Ham Library,"Monday - Saturday -9am-8pm, Sunday 12pm-4pm, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,yes,Yes,London Borough of Newham,20250530,Tier 1,542767.378,183598.662
145,Yes,5 Pier Parade,,Newham,Air conditioning,," young children, older people, pregnant women ",,15,2,North Woolwich Library,"Monday - 9.30am-5.30pm, Tuesday - 9.30am - 8pm, Wednesday - 9.30am -5.30pm, Thursday - 9.30am-8pm, Friday - 9.30am-5pm, Saturday - 9.30am-5.30pm  Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,yes,Yes,London Borough of Newham,20250530,Tier 1,543269.56,180015.983
146,Yes,Prince Regent Lane,42,Newham,"Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,17,10,Custom House Library,"Monday - 10am-6pm, Tuesday -10am-6pm, Wednesday - Closed, Thursday - 10am-6pm , Friday - Closed, Saturday - 10am-6pm,  Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,I don’t know/ it’s not possible to  monitor indoor temperature,yes,Yes,London Borough of Newham,20250530,Tier 2,541073.813,181473.608
147,Yes,18 Rathbone Market,,Newham,Air conditioning,," young children, older people, pregnant women ",,18,20,Canning Town Library,"Monday - Saturday -9am-8pm, Sunday closed, Public Holidays - Closed ",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,yes,Yes,London Borough of Newham,20250530,Tier 1,539591.149,181682.997
251,Yes,Churchfields,South Woodford,Redbridge,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,667,80,Redbridge Drama Centre,Mon - Fri 06.00am - 22.00pm Saturday and Sunday 08.00am - 18.00pm,E18 2RB,available on site,yes,yes,yes,26c_or_less,yes,yes,Vision RCL,20250626,Tier 1,540376,190786
252,Yes,Snakes Lane East,Woodford Green,Redbridge,Air conditioning,,"Young children,Older people,Pregnant women",,668,30,Woodford Green Library & Gym,Mon to Fri: 6am to 10pm Sat & Sun: 8am to 6pm Public Holidays: 8am to 4pm,IG8 0DX,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Vision RCL,20250626,Tier 1,540831,191818
